wavenumber,intensity
1009.508,0.287428
1012.510,0.313054
1015.513,0.348923
1018.515,0.405934
1021.518,0.435885
1024.520,0.486551
1027.523,0.524646
1030.525,0.585966
1033.528,0.597927
1036.530,0.671750
1039.533,0.679226
1042.535,0.693874
1045.538,0.741205
1048.540,0.777070
1051.543,0.762461
1054.545,0.723642
1057.548,0.729757
1060.550,0.680438
1063.553,0.653738
1066.555,0.619003
1069.558,0.527639
1072.560,0.531906
1075.563,0.460404
1078.565,0.420209
1081.568,0.359302
1084.570,0.315583
1087.573,0.287440
1090.575,0.287003
1093.578,0.272084
1096.580,0.210699
1099.583,0.209553
1102.585,0.162790
1105.588,0.113693
1108.590,0.141912
1111.593,0.137510
1114.595,0.111996
1117.598,0.120476
1120.601,0.121278
1123.603,0.089171
1126.606,0.074462
1129.608,0.097855
1132.611,0.096881
1135.613,0.093271
1138.616,0.119578
1141.618,0.134058
1144.621,0.091068
1147.623,0.113332
1150.626,0.118192
1153.628,0.113700
1156.631,0.120477
1159.633,0.091852
1162.636,0.114554
1165.638,0.140375
1168.641,0.116090
1171.643,0.087753
1174.646,0.112441
1177.648,0.125671
1180.651,0.107940
1183.653,0.089429
1186.656,0.131695
1189.658,0.075975
1192.661,0.111175
1195.663,0.100919
1198.666,0.077505
1201.668,0.125903
1204.671,0.108607
1207.673,0.078449
1210.676,0.113955
1213.678,0.093423
1216.681,0.064134
1219.683,0.088546
1222.686,0.107730
1225.688,0.115307
1228.691,0.106038
1231.693,0.103763
1234.696,0.112393
1237.698,0.098907
1240.701,0.126799
1243.703,0.106365
1246.706,0.109403
1249.708,0.114473
1252.711,0.082646
1255.713,0.089737
1258.716,0.134624
1261.718,0.110890
1264.721,0.098663
1267.723,0.111276
1270.726,0.094945
1273.728,0.110279
1276.731,0.091521
1279.733,0.110488
1282.736,0.073544
1285.738,0.131846
1288.741,0.095098
1291.743,0.073862
1294.746,0.101139
1297.748,0.098324
1300.751,0.108921
1303.753,0.083096
1306.756,0.114078
1309.758,0.178728
1312.761,0.080811
1315.763,0.113266
1318.766,0.100425
1321.768,0.110619
1324.771,0.070657
1327.773,0.084000
1330.776,0.116339
1333.778,0.106504
1336.781,0.140103
1339.783,0.093428
1342.786,0.111139
1345.788,0.166037
1348.791,0.092588
1351.793,0.089948
1354.796,0.107447
1357.798,0.107383
1360.801,0.125283
1363.803,0.111118
1366.806,0.093521
1369.808,0.113019
1372.811,0.161709
1375.813,0.134542
1378.816,0.053675
1381.818,0.106765
1384.821,0.092520
1387.823,0.123104
1390.826,0.108186
1393.828,0.151858
1396.831,0.134230
1399.833,0.137057
1402.836,0.128376
1405.838,0.131615
1408.841,0.150104
1411.843,0.183960
1414.846,0.188109
1417.848,0.194975
1420.851,0.257604
1423.853,0.271478
1426.856,0.306404
1429.858,0.335974
1432.861,0.385970
1435.863,0.429284
1438.866,0.427342
1441.868,0.538346
1444.871,0.555208
1447.873,0.554485
1450.876,0.582405
1453.878,0.560570
1456.881,0.537978
1459.883,0.449907
1462.886,0.456106
1465.888,0.428055
1468.891,0.404355
1471.893,0.364409
1474.896,0.314376
1477.898,0.225221
1480.901,0.172327
1483.903,0.201063
1486.906,0.168963
1489.908,0.171305
1492.911,0.137372
1495.913,0.135542
1498.916,0.095076
1501.918,0.129966
1504.921,0.109479
1507.923,0.123746
1510.926,0.124972
1513.928,0.112910
1516.931,0.121329
1519.933,0.114623
1522.936,0.130077
1525.938,0.124979
1528.941,0.104080
1531.943,0.103362
1534.946,0.150099
1537.948,0.113301
1540.951,0.135280
1543.953,0.123425
1546.956,0.104392
1549.958,0.100818
1552.961,0.118333
1555.963,0.121214
1558.966,0.128549
1561.968,0.091153
1564.971,0.104908
1567.973,0.115343
1570.976,0.149891
1573.978,0.071610
1576.981,0.128979
1579.983,0.111428
1582.986,0.133809
1585.988,0.119568
1588.991,0.142648
1591.993,0.174872
1594.996,0.161808
1597.998,0.178192
1601.001,0.196227
1604.003,0.198254
1607.006,0.254599
1610.008,0.276643
1613.011,0.308610
1616.013,0.375108
1619.016,0.428983
1622.018,0.511979
1625.021,0.805543
1628.023,0.624066
1631.026,0.733779
1634.028,0.791620
1637.031,0.858688
1640.033,0.898227
1643.036,0.925344
1646.038,0.947127
1649.041,0.962888
1652.043,0.984680
1655.046,0.949660
1658.048,0.884914
1661.051,0.868163
1664.053,0.784596
1667.056,0.752581
1670.058,0.656851
1673.061,0.585528
1676.063,0.543927
1679.066,0.473865
1682.068,0.380953
1685.071,0.374022
1688.073,0.353997
1691.076,0.239818
1694.078,0.271415
1697.081,0.193230
1700.083,0.174804
1703.086,0.163766
1706.088,0.125253
1709.091,0.170338
1712.093,0.147083
1715.096,0.117136
1718.098,0.123110
1721.101,0.095947
1724.103,0.117754
1727.106,0.142436
1730.108,0.088798
1733.111,0.114030
1736.113,0.125511
1739.116,0.143469
1742.118,0.149487
1745.121,0.113393
1748.123,0.107795
1751.126,0.131686
1754.128,0.115498
1757.131,0.116652
1760.133,0.144549
1763.136,0.156833
1766.138,0.128450
1769.141,0.119382
1772.143,0.134746
1775.146,0.085664
1778.148,0.123144
1781.151,0.102391
1784.153,0.171484
1787.156,0.138193
1790.158,0.126710
1793.161,0.120088
1796.163,0.073769
1799.166,0.138416
1802.168,0.156840
1805.171,0.109768
1808.173,0.138105
1811.176,0.138979
1814.178,0.093657
1817.181,0.143426
1820.183,0.151898
1823.186,0.129463
1826.188,0.123720
1829.191,0.140833
1832.193,0.094349
1835.196,0.127120
1838.198,0.146431
1841.201,0.100585
1844.204,0.145375
1847.206,0.117248
1850.209,0.084085
1853.211,0.123676
1856.214,0.106442
1859.216,0.132353
1862.219,0.102614
1865.221,0.147150
1868.224,0.111456
1871.226,0.133447
1874.229,0.114528
1877.231,0.120037
1880.234,0.150417
1883.236,0.130975
1886.239,0.118855
1889.241,0.101812
1892.244,0.150128
1895.246,0.141671
1898.249,0.120570
1901.251,0.132053
1904.254,0.106681
1907.256,0.107061
1910.259,0.110919
1913.261,0.134596
1916.264,0.133530
1919.266,0.112791
1922.269,0.142537
1925.271,0.143560
1928.274,0.131408
1931.276,0.148802
1934.279,0.122371
1937.281,0.125941
1940.284,0.137742
1943.286,0.127687
1946.289,0.144329
1949.291,0.103480
1952.294,0.157132
1955.296,0.113073
1958.299,0.125487
1961.301,0.101312
1964.304,0.140949
1967.306,0.154504
1970.309,0.150529
1973.311,0.145857
1976.314,0.098128
1979.316,0.113708
1982.319,0.120181
1985.321,0.110818
1988.324,0.152047
1991.326,0.133363
1994.329,0.129264
1997.331,0.139584
2000.334,0.110881
2003.336,0.111826
2006.339,0.112443
2009.341,0.140104
2012.344,0.137062
2015.346,0.141871
2018.349,0.151955
2021.351,0.103320
2024.354,0.119335
2027.356,0.133574
2030.359,0.103726
2033.361,0.120135
2036.364,0.151137
2039.366,0.152986
2042.369,0.152545
2045.371,0.131948
2048.374,0.126926
2051.376,0.152832
2054.379,0.123865
2057.381,0.138159
2060.384,0.157977
2063.386,0.124196
2066.389,0.119412
2069.391,0.131511
2072.394,0.143742
2075.396,0.141498
2078.399,0.135042
2081.401,0.143129
2084.404,0.100083
2087.406,0.114965
2090.409,0.135489
2093.411,0.113726
2096.414,0.105540
2099.416,0.108291
2102.419,0.114158
2105.421,0.129026
2108.424,0.112216
2111.426,0.137440
2114.429,0.166740
2117.431,0.129936
2120.434,0.158456
2123.436,0.138803
2126.439,0.110711
2129.441,0.128052
2132.444,0.113615
2135.446,0.148683
2138.449,0.110335
2141.451,0.159920
2144.454,0.145104
2147.456,0.093166
2150.459,0.149370
2153.461,0.164815
2156.464,0.118015
2159.466,0.153602
2162.469,0.098000
2165.471,0.139081
2168.474,0.100881
2171.476,0.143827
2174.479,0.098490
2177.481,0.081662
2180.484,0.142311
2183.486,0.180217
2186.489,0.122616
2189.491,0.151202
2192.494,0.136882
2195.496,0.128267
2198.499,0.147114
2201.501,0.167723
2204.504,0.110241
2207.506,0.146291
2210.509,0.141984
2213.511,0.106663
2216.514,0.167512
2219.516,0.174273
2222.519,0.116298
2225.521,0.170180
2228.524,0.136612
2231.526,0.132292
2234.529,0.165693
2237.531,0.140240
2240.534,0.142222
2243.536,0.166179
2246.539,0.161657
2249.541,0.153822
2252.544,0.108015
2255.546,0.104645
2258.549,0.158681
2261.551,0.117690
2264.554,0.139261
2267.556,0.114876
2270.559,0.132749
2273.561,0.110915
2276.564,0.169159
2279.566,0.116246
2282.569,0.134257
2285.571,0.133015
2288.574,0.161005
2291.576,0.108634
2294.579,0.136603
2297.581,0.133493
2300.584,0.148992
2303.586,0.149079
2306.589,0.132481
2309.591,0.150025
2312.594,0.143227
2315.596,0.168375
2318.599,0.168942
2321.601,0.174389
2324.604,0.208594
2327.606,0.243359
2330.609,0.313115
2333.611,0.293112
2336.614,0.345431
2339.616,0.403245
2342.619,0.362193
2345.621,0.390654
2348.624,0.413057
2351.626,0.434110
2354.629,0.473065
2357.631,0.409687
2360.634,0.395841
2363.636,0.332416
2366.639,0.251345
2369.641,0.219545
2372.644,0.254960
2375.646,0.211903
2378.649,0.161159
2381.651,0.193499
2384.654,0.128858
2387.656,0.174421
2390.659,0.175598
2393.661,0.128059
2396.664,0.119290
2399.666,0.157274
2402.669,0.117925
2405.671,0.156804
2408.674,0.115559
2411.676,0.155597
2414.679,0.141346
2417.681,0.130857
2420.684,0.121652
2423.686,0.144375
2426.689,0.351054
2429.691,0.134222
2432.694,0.131878
2435.696,0.153428
2438.699,0.114844
2441.701,0.174249
2444.704,0.133808
2447.706,0.117335
2450.709,0.167879
2453.711,0.173475
2456.714,0.136520
2459.716,0.122513
2462.719,0.140715
2465.721,0.126644
2468.724,0.134270
2471.726,0.171738
2474.729,0.148466
2477.731,0.143594
2480.734,0.147665
2483.736,0.139641
2486.739,0.157692
2489.741,0.158505
2492.744,0.133583
2495.746,0.143137
2498.749,0.189365
2501.751,0.149582
2504.754,0.137491
2507.756,0.182260
2510.759,0.141512
2513.761,0.119435
2516.764,0.154930
2519.766,0.123499
2522.769,0.131608
2525.771,0.148136
2528.774,0.139131
2531.776,0.126454
2534.779,0.130761
2537.781,0.129970
2540.784,0.165218
2543.786,0.127531
2546.789,0.130563
2549.791,0.182831
2552.794,0.131045
2555.796,0.171965
2558.799,0.168548
2561.802,0.139235
2564.804,0.113958
2567.807,0.151462
2570.809,0.155912
2573.812,0.161870
2576.814,0.144008
2579.817,0.166717
2582.819,0.170489
2585.822,0.121650
2588.824,0.171383
2591.827,0.146340
2594.829,0.131590
2597.832,0.136588
2600.834,0.180567
2603.837,0.162752
2606.839,0.107346
2609.842,0.144851
2612.844,0.140440
2615.847,0.139781
2618.849,0.133085
2621.852,0.114277
2624.854,0.160691
2627.857,0.124719
2630.859,0.136167
2633.862,0.131575
2636.864,0.129121
2639.867,0.158597
2642.869,0.151463
2645.872,0.130359
2648.874,0.125001
2651.877,0.134563
2654.879,0.163347
2657.882,0.146579
2660.884,0.148777
2663.887,0.137607
2666.889,0.139067
2669.892,0.148610
2672.894,0.107465
2675.897,0.176629
2678.899,0.128689
2681.902,0.133130
2684.904,0.171320
2687.907,0.149053
2690.909,0.145500
2693.912,0.133046
2696.914,0.113543
2699.917,0.148520
2702.919,0.168780
2705.922,0.126936
2708.924,0.172238
2711.927,0.122494
2714.929,0.130411
2717.932,0.155262
2720.934,0.145200
2723.937,0.159070
2726.939,0.130471
2729.942,0.124725
2732.944,0.108072
2735.947,0.121393
2738.949,0.123999
2741.952,0.117036
2744.954,0.151798
2747.957,0.132404
2750.959,0.105970
2753.962,0.195459
2756.964,0.129146
2759.967,0.120787
2762.969,0.170747
2765.972,0.169314
2768.974,0.123033
2771.977,0.116636
2774.979,0.126171
2777.982,0.168820
2780.984,0.140067
2783.987,0.130183
2786.989,0.145862
2789.992,0.170595
2792.994,0.118816
2795.997,0.139048
2798.999,0.119201
2802.002,0.190504
2805.004,0.183677
2808.007,0.166670
2811.009,0.145430
2814.012,0.161892
2817.014,0.107495
2820.017,0.156173
2823.019,0.125406
2826.022,0.127604
2829.024,0.142598
2832.027,0.153070
2835.029,0.175924
2838.032,0.184032
2841.034,0.182325
2844.037,0.167006
2847.039,0.210323
2850.042,0.207725
2853.044,0.249875
2856.047,0.227191
2859.049,0.213006
2862.052,0.285248
2865.054,0.368336
2868.057,0.369397
2871.059,0.395073
2874.062,0.459740
2877.064,0.499188
2880.067,0.548976
2883.069,0.583117
2886.072,0.650835
2889.074,0.710647
2892.077,0.751421
2895.079,0.798719
2898.082,0.878601
2901.084,0.946520
2904.087,0.986734
2907.089,1.024372
2910.092,1.058230
2913.094,1.125464
2916.097,1.095867
2919.099,1.119143
2922.102,1.135598
2925.104,1.086248
2928.107,1.070123
2931.109,1.056873
2934.112,1.033255
2937.114,0.962652
2940.117,0.915091
2943.119,0.856909
2946.122,0.775368
2949.124,0.764642
2952.127,0.679696
2955.129,0.754901
2958.132,0.570096
2961.134,0.486035
2964.137,0.451335
2967.139,0.426444
2970.142,0.366333
2973.144,0.369036
2976.147,0.285333
2979.149,0.291209
2982.152,0.272251
2985.154,0.269113
2988.157,0.240504
2991.159,0.211868
2994.162,0.196598
2997.164,0.183898
3000.167,0.352227
3003.169,0.157651
3006.172,0.176256
3009.174,0.160131
3012.177,0.163885
3015.179,0.151612
3018.182,0.197914
3021.184,0.140858
3024.187,0.158190
3027.189,0.158028
3030.192,0.164242
3033.194,0.160800
3036.197,0.160096
3039.199,0.171131
3042.202,0.121333
3045.204,0.151609
3048.207,0.126742
3051.209,0.156088
3054.212,0.127816
3057.214,0.132312
3060.217,0.150350
3063.219,0.179542
3066.222,0.163218
3069.224,0.157660
3072.227,0.179854
3075.229,0.132944
3078.232,0.110068
3081.234,0.143494
3084.237,0.146471
3087.239,0.176795
3090.242,0.194950
3093.244,0.125640
3096.247,0.201855
3099.249,0.183671
3102.252,0.169232
3105.254,0.159904
3108.257,0.201152
3111.259,0.154335
3114.262,0.143351
3117.264,0.155717
3120.267,0.125671
3123.269,0.162630
3126.272,0.151141
3129.274,0.160114
3132.277,0.160891
3135.279,0.132718
3138.282,0.180454
3141.284,0.134100
3144.287,0.172463
3147.289,0.123178
3150.292,0.000098
3153.294,0.139486
3156.297,-0.020202
3159.299,0.143951
3162.302,0.113975
3165.304,0.136100
3168.307,0.160623
3171.309,0.172700
3174.312,0.131935
3177.314,0.120057
3180.317,0.146518
3183.319,0.161311
3186.322,0.154648
3189.324,0.153106
3192.327,0.188535
3195.329,0.193322
3198.332,0.191600
3201.334,0.161071
3204.337,0.184750
3207.339,0.183100
3210.342,0.162552
3213.344,0.213284
3216.347,0.202358
3219.349,0.196322
3222.352,0.240273
3225.354,0.233606
3228.357,0.242385
3231.359,0.256749
3234.362,0.255156
3237.364,0.224127
3240.367,0.250886
3243.369,0.288563
3246.372,0.263570
3249.374,0.290750
3252.377,0.309638
3255.379,0.342792
3258.382,0.352805
3261.384,0.358236
3264.387,0.350524
3267.389,0.387050
3270.392,0.394291
3273.394,0.395905
3276.397,0.442090
3279.399,0.440949
3282.402,0.432324
3285.405,0.489351
3288.407,0.475629
3291.410,0.509353
3294.412,0.483699
3297.415,0.530379
3300.417,0.528204
3303.420,0.543724
3306.422,0.540613
3309.425,0.636839
3312.427,0.605526
3315.430,0.627155
3318.432,0.657638
3321.435,0.645263
3324.437,0.669239
3327.440,0.642029
3330.442,0.682279
3333.445,0.678047
3336.447,0.703087
3339.450,0.702172
3342.452,0.675004
3345.455,0.668499
3348.457,0.686693
3351.460,0.721816
3354.462,0.714279
3357.465,0.711180
3360.467,0.658725
3363.470,0.640002
3366.472,0.674717
3369.475,0.672716
3372.477,0.658311
3375.480,0.667378
3378.482,0.645738
3381.485,0.613364
3384.487,0.606539
3387.490,0.613271
3390.492,0.597445
3393.495,0.579492
3396.497,0.610809
3399.500,0.544284
3402.502,0.535704
3405.505,0.496924
3408.507,0.493076
3411.510,0.494112
3414.512,0.478382
3417.515,0.447423
3420.517,0.442198
3423.520,0.419390
3426.522,0.364976
3429.525,0.321794
3432.527,0.418643
3435.530,0.374650
3438.532,0.343023
3441.535,0.296070
3444.537,0.292565
3447.540,0.333025
3450.542,0.238580
3453.545,0.276904
3456.547,0.290424
3459.550,0.266192
3462.552,0.269304
3465.555,0.243062
3468.557,0.285618
3471.560,0.209819
3474.562,0.196314
3477.565,0.222757
3480.567,0.240071
3483.570,0.205058
3486.572,0.222309
3489.575,0.186297
3492.577,0.169199
3495.580,0.217274
3498.582,0.217376
3501.585,0.213720
3504.587,0.171654
3507.590,0.154956
3510.592,0.152574
3513.595,0.169605
3516.597,0.184099
3519.600,0.181182
3522.602,0.141036
3525.605,0.172514
3528.607,0.167995
3531.610,0.168602
3534.612,0.165601
3537.615,0.161414
3540.617,0.176786
3543.620,0.167008
3546.622,0.168600
3549.625,0.149960
3552.627,0.171429
3555.630,0.160877
3558.632,0.120825
3561.635,0.172666
3564.637,0.157604
3567.640,0.181339
3570.642,0.159519
3573.645,0.160813
3576.647,0.166946
3579.650,0.162475
3582.652,0.153785
3585.655,0.126882
3588.657,0.199632
3591.660,0.131242
3594.662,0.156033
3597.665,0.175977
3600.667,0.170570
3603.670,0.174375
3606.672,0.178477
3609.675,0.188426
3612.677,0.169172
3615.680,0.221429
3618.682,0.143099
3621.685,0.167988
3624.687,0.156297
3627.690,0.152686
3630.692,0.169410
3633.695,0.192906
3636.697,0.149613
3639.700,0.149676
3642.702,0.178463
3645.705,0.174931
3648.707,0.203285
3651.710,0.184766
3654.712,0.168879
3657.715,0.157780
3660.717,0.168752
3663.720,0.161022
3666.722,0.137305
3669.725,0.164852
3672.727,0.161265
3675.730,0.160197
3678.732,0.156343
3681.735,0.198812
3684.737,0.179017
3687.740,0.183910
3690.742,0.153101
3693.745,0.144884
3696.747,0.159761
3699.750,0.170382
3702.752,0.158677
3705.755,0.161901
3708.757,0.184977
3711.760,0.171816
3714.762,0.146235
3717.765,0.157438
3720.767,0.152931
3723.770,0.169784
3726.772,0.142904
3729.775,0.162759
3732.777,0.180271
3735.780,0.167077
3738.782,0.148309
3741.785,0.154344
3744.787,0.169244
3747.790,0.176504
3750.792,0.183669
3753.795,0.164109
3756.797,0.140754
3759.800,0.195685
3762.802,0.173229
3765.805,0.175479
3768.807,0.173554
3771.810,0.146781
3774.812,0.161232
3777.815,0.172850
3780.817,0.188445
3783.820,0.169083
3786.822,0.105569
3789.825,0.163228
3792.827,0.175197
3795.830,0.194110
3798.832,0.182547
3801.835,0.218213
3804.837,0.196985
3807.840,0.195540
3810.842,0.187532
3813.845,0.141117
3816.847,0.185797
3819.850,0.180935
3822.852,0.158515
3825.855,0.180859
3828.857,0.177578
3831.860,0.160007
3834.862,0.166930
3837.865,0.164223
3840.867,0.174190
3843.870,0.161180
3846.872,0.180662
3849.875,0.131504
3852.877,0.164309
3855.880,0.136346
3858.882,0.160474
3861.885,0.180564
3864.887,0.170750
3867.890,0.168198
3870.892,0.171880
3873.895,0.201988
3876.897,0.148567
3879.900,0.188540
3882.902,0.140628
3885.905,0.161625
3888.907,0.174341
3891.910,0.154130
3894.912,0.175361
3897.915,0.185927
3900.917,0.147574
3903.920,0.169997
3906.922,0.164109
3909.925,0.132929
3912.927,0.168091
3915.930,0.155973
3918.932,0.198807
3921.935,0.154611
3924.937,0.206209
3927.940,0.161648
3930.942,0.211177
3933.945,0.183299
3936.947,0.181686
3939.950,0.188822
3942.952,0.190852
3945.955,0.200970
3948.957,0.207657
3951.960,0.166168
3954.962,0.148198
3957.965,0.119865
3960.967,0.165655
3963.970,0.188705
3966.972,0.181167
3969.975,0.176004
3972.977,0.166796
3975.980,0.161101
3978.982,0.168328
3981.985,0.181882
3984.987,0.138912
3987.990,0.188884
3990.992,0.145238
3993.995,0.171344
3996.997,0.161921
4000.000,0.167323
